Gmt time,Open,High,Low,Close,Volume
2020-01-01 09:15:00+05:30,749.36,753.86,748.87,753.31,1287534
2020-01-01 09:30:00+05:30,753.14,753.34,750.79,751.09,501386
2020-01-01 09:45:00+05:30,751.09,752.82,750.82,751.86,378560
2020-01-01 10:00:00+05:30,751.83,752.08,748.5,750.25,531096
2020-01-01 10:15:00+05:30,750.25,750.79,749.44,750.35,258162
2020-01-01 10:30:00+05:30,750.35,751.58,749.96,750.84,286188
2020-01-01 10:45:00+05:30,751.07,751.09,748.13,748.87,598358
2020-01-01 11:00:00+05:30,748.82,750.3,748.82,749.76,183184
2020-01-01 11:15:00+05:30,749.81,749.86,748.87,749.76,159294
2020-01-01 11:30:00+05:30,749.76,750.25,749.54,749.81,139624
2020-01-01 11:45:00+05:30,749.78,749.81,748.57,749.31,167930
2020-01-01 12:00:00+05:30,749.09,750.18,748.92,749.31,223722
2020-01-01 12:15:00+05:30,749.34,750.1,746.5,747.27,625336
2020-01-01 12:30:00+05:30,747.27,748.4,746.48,747.66,409684
2020-01-01 12:45:00+05:30,747.66,748.38,747.66,747.88,200252
2020-01-01 13:00:00+05:30,747.81,747.88,745.51,746.15,474994
2020-01-01 13:15:00+05:30,745.96,747.14,745.73,746.89,375340
2020-01-01 13:30:00+05:30,747.07,747.54,746.01,747.14,315378
2020-01-01 13:45:00+05:30,747.14,751.19,746.89,748.1,839906
2020-01-01 14:00:00+05:30,747.88,748.47,746.57,747.12,587608
2020-01-01 14:15:00+05:30,746.89,747.12,745.91,746.11,445104
2020-01-01 14:30:00+05:30,746.08,746.25,743.19,745.91,1155170
2020-01-01 14:45:00+05:30,745.91,745.91,743.74,744.62,562982
2020-01-01 15:00:00+05:30,744.62,746.4,744.25,745.17,869020
2020-01-01 15:15:00+05:30,745.17,746.35,744.43,745.22,1387948
2020-01-02 09:15:00+05:30,746.4,751.34,746.4,750.35,1176428
2020-01-02 09:30:00+05:30,750.5,752.3,749.12,749.39,663826
2020-01-02 09:45:00+05:30,749.39,750.75,748.52,749.71,393882
2020-01-02 10:00:00+05:30,749.73,751.68,749.46,751.36,301508
2020-01-02 10:15:00+05:30,751.31,752.82,751.17,752.2,679074
2020-01-02 10:30:00+05:30,752.33,754.79,752.1,754.5,828594
2020-01-02 10:45:00+05:30,754.52,755.24,753.81,754.5,976154
2020-01-02 11:00:00+05:30,754.47,754.82,753.31,753.66,850280
